invoiceNumber,date,vendorName,gstNumber,irn,lineItems,sgstAmount,cgstAmount,igstAmount,utgstAmount,cessAmount,freightAndDelivery,totalDiscount,totalAmountStr,totalAmountFloat,flag_reasons
25-26/UTNSI/2389,08-11-2025,UTTAM TOOLS,06AAPPT4799L1ZK,4b07cafedcf34dbb1ce12bd97e44a015a5639f8b5100b9d113d565831328f26a,"[{""description"": ""SC REAMER DIA 2.54 X 20FL X 60 X SH DIA 4-6521360167"", ""hsnSac"": ""82076010"", ""quantity"": 10.0, ""unitPrice"": 2500.0, ""GST"": 4500.0, ""Discount"": 0.0}]",null,null,4500.00,null,null,null,null,29500.00,29500.0,"[""GSTIN match with strong supporting signals -> high risk""]"
25-26/UTNSI/2389,18-10-2025,UTTAM TOOLS,06AAPPT4799L1ZK,4b07cafedcf34dbb1ce12bd97e44a015a5639f8b5100b9d113d565831328f26a,"[{""description"": ""SC REAMER DIA 2.54 X 20FL X 60 X SH DIA 4-6521360167"", ""hsnSac"": ""82076010"", ""quantity"": 10.0, ""unitPrice"": 1500.0, ""GST"": 2700.0, ""Discount"": 0}]",null,null,"2,700.00",null,null,null,null,"17,700.00",17700.0,"[""Exact duplicate: identical vendor+invoice+date+amount""]"
,,,,,[],,,,,,,,,,"[""Failed to parse key data (Invoice # or GSTIN).""]"
,,,,,[],,,,,,,,,,"[""Failed to parse key data (Invoice # or GSTIN).""]"
25-26/UTNSI/2389,18-10-2025,UTTAM TOOLS,06AAPPT4799L1ZK,4b07cafedcf34dbb1ce12bd97e44a015a5639f8b5100b9d113d565831328f26a,"[{""description"": ""SC REAMER DIA 2.54 X 20FL X 60 X SH DIA 4-6521360167"", ""hsnSac"": ""82076010"", ""quantity"": 10.0, ""unitPrice"": 1500.0, ""GST"": 2700.0, ""Discount"": 0}]",null,null,"2,700.00",null,null,null,null,"17,700.00",17700.0,"[""Exact duplicate: identical vendor+invoice+date+amount""]"
25-26/UTNSI/2389,18-10-2025,UTTAM TOOLS,06AAPPT4799L1ZK,4b07cafedcf34dbb1ce12bd97e44a015a5639f8b5100b9d113d565831328f26a,"[{""description"": ""SC REAMER DIA 2.54 X 20FL X 60 X SH DIA 4-6521360167"", ""hsnSac"": ""82076010"", ""quantity"": 10.0, ""unitPrice"": 1500.0, ""GST"": 2700.0, ""Discount"": 0.0}]",null,null,"2,700.00",null,null,null,null,"17,700.00",17700.0,"[""Exact duplicate: identical vendor+invoice+date+amount""]"
25-26/UTNSI/2389,08-11-2025,UTTAM TOOLS,06AAPPT4799L1ZK,4b07cafedf34dbb1ce12bd97e44a015a5639f8b5100b9d113d565831328f26a,"[{""description"": ""SC REAMER DIA 2.54 X 20FL X 60 X 8 SH DIA 4-6521360167"", ""hsnSac"": ""82076010"", ""quantity"": 10.0, ""unitPrice"": 2500.0, ""GST"": 4500.0, ""Discount"": 0}]",null,null,4500,null,null,null,null,29500.00,29500.0,"[""GSTIN match with strong supporting signals -> high risk""]"
25-26/UTNSI/2389,18-10-2025,UTTAM TOOLS,06AAPPT4799L1ZK,4b07cafedcf34dbb1ce12bd97e44a015a5639f8b5100b9d113d565831328f26a,"[{""description"": ""SC REAMER DIA 2.54 X 20FL X 60 X SH DIA 4-6521360167"", ""hsnSac"": ""82076010"", ""quantity"": 10.0, ""unitPrice"": 1500.0, ""GST"": 2700.0, ""Discount"": 0.0}]",null,null,"2,700.00",null,null,null,null,"17,700.00",17700.0,"[""Exact duplicate: identical vendor+invoice+date+amount""]"
25-26/UTNSI/2389,08-11-2025,UTTAM TOOLS,06AAPPT4799L1ZK,4b07cafedcf34dbb1ce12bd97e44a015a5639f8b5100b9d113d565831328f26a,"[{""description"": ""SC REAMER DIA 2.54 X 20FL X 60 X 8 SH DIA 4-6521360167"", ""hsnSac"": ""82076010"", ""quantity"": 10.0, ""unitPrice"": 2500.0, ""GST"": 4500.0, ""Discount"": 0.0}]",null,null,"4,500",null,null,null,null,29500.00,29500.0,"[""GSTIN match with strong supporting signals -> high risk""]"
LHS/24-25/989,05-03-2025,M/s. LIGHTS HUB,24AAQTPM6627Q1ZV,ac964b25f45a2c4375266c2ebcd42f240e5b291bab0696b50d41e9e8a781e93a,"[{""description"": ""Halonix LED Panel 2x2 36w - (6K)"", ""hsnSac"": ""94054090"", ""quantity"": 8.0, ""unitPrice"": 1210.0, ""GST"": 1742.4, ""Discount"": 0.0}, {""description"": ""Halonix LED Aluminum Batten 20w - (6K)"", ""hsnSac"": ""94054090"", ""quantity"": 10.0, ""unitPrice"": 370.0, ""GST"": 666.0, ""Discount"": 0.0}]",null,null,2408.40,null,null,null,null,"15,788.00",15788.0,"[""GSTIN Invalid: Invalid GST Number"", ""HSN Rate Mismatch for 'Halonix LED Panel 2x2 36w - (6K)' (HSN: 94054090): Item billed at 18.0%, but the official rate found online is 12.0%."", ""HSN Rate Mismatch for 'Halonix LED Aluminum Batten 20w - (6K)' (HSN: 94054090): Item billed at 18.0%, but the official rate found online is 12.0%.""]"
914,31-08-2025,OM SAYLI VIJAY ENTERPRISES,null,null,"[{""description"": ""20 Ltr. Jar"", ""hsnSac"": ""null"", ""quantity"": 84.0, ""unitPrice"": 50.0, ""GST"": 4200.0, ""Discount"": 0.0}, {""description"": ""200 ml. Box"", ""hsnSac"": ""null"", ""quantity"": 90.0, ""unitPrice"": 260.0, ""GST"": 23400.0, ""Discount"": 0.0}]",null,null,null,null,null,null,null,27600,27600.0,"[""GSTIN Invalid: Invalid GST Number"", ""HSN Rate Mismatch for '20 Ltr. Jar' (HSN: null): Item billed at 100.0%, but the official rate found online is 18.0%."", ""HSN Rate Mismatch for '200 ml. Box' (HSN: null): Item billed at 100.0%, but the official rate found online is 18.0%.""]"
